Longitude,Latitude,Anomaly_Score,eTh_Raw,RTP_Raw
332976.99599322473,4273542.058330265,-0.035159622584717165,238,253.4394
315876.99599322473,4241392.058330265,-0.035159622584717165,249,250.30391
351676.99599322473,4248842.058330265,-0.03509490952359173,244,253.86337
367676.99599322473,4303092.058330265,-0.035051775970664445,249,249.0
374576.99599322473,4298342.058330265,-0.035051775970664445,249,249.0
315976.99599322473,4241242.058330265,-0.035051775970664445,244,253.30278
381476.99599322473,4277242.058330265,-0.035051775970664445,249,249.0
378526.99599322473,4266742.058330265,-0.035051775970664445,249,249.0
325876.99599322473,4277442.058330265,-0.0350166787601468,249,62.388954
376676.99599322473,4279392.058330265,-0.03501130367743088,238,253.86337
395226.99599322473,4288242.058330265,-0.03500444835974004,244,252.45956
363226.99599322473,4303692.058330265,-0.03500444835974004,244,252.14493
383776.99599322473,4279742.058330265,-0.03500444835974004,244,253.02016
354676.99599322473,4248792.058330265,-0.03500444835974004,244,253.02016
379226.99599322473,4266292.058330265,-0.03500444835974004,244,252.45956
381476.99599322473,4277142.058330265,-0.03500444835974004,249,248.3273
346376.99599322473,4281392.058330265,-0.03500444835974004,249,248.3273
343826.99599322473,4284392.058330265,-0.03500444835974004,244,253.02016
380826.99599322473,4276092.058330265,-0.03500444835974004,249,249.97984
332276.99599322473,4272442.058330265,-0.03498852550713083,238,253.02016
326376.99599322473,4276392.058330265,-0.03495198004522759,249,54.43723
326326.99599322473,4276442.058330265,-0.03495198004522759,249,54.300594
332626.99599322473,4262842.058330265,-0.034926228572774276,249,69.02016
347526.99599322473,4263292.058330265,-0.0348357910763758,249,73.072556
412326.99599322473,4270942.058330265,-0.0348357910763758,249,77.973495
343176.99599322473,4285142.058330265,-0.034696318593220976,249,247.68755
348526.99599322473,4268692.058330265,-0.034696318593220976,249,247.82419
392426.99599322473,4282642.058330265,-0.034696318593220976,249,247.82419
381176.99599322473,4277542.058330265,-0.034696318593220976,249,247.82419
382926.99599322473,4271592.058330265,-0.034696318593220976,249,247.82419
332276.99599322473,4272492.058330265,-0.03468040335156042,238,253.86337
388876.99599322473,4295042.058330265,-0.0346787129285,249,248.51657
374476.99599322473,4298342.058330265,-0.034658842765323605,249,248.16333
346226.99599322473,4262142.058330265,-0.034658842765323605,249,248.83604
321076.99599322473,4291892.058330265,-0.034658842765323605,249,248.16333
332876.99599322473,4271742.058330265,-0.034605913355258866,249,247.01485
346726.99599322473,4293842.058330265,-0.034516009958381444,249,54.74569
397726.99599322473,4287892.058330265,-0.03447805548971972,244,249.69722
367126.99599322473,4301742.058330265,-0.03447805548971972,244,248.54874
367176.99599322473,4301542.058330265,-0.034242927667912926,249,248.83604
358226.99599322473,4309792.058330265,-0.03413273210700607,244,253.4394
366876.99599322473,4254592.058330265,-0.03405936169827051,249,244.84853
325976.99599322473,4238142.058330265,-0.03405461809333421,249,62.388954
383076.99599322473,4271092.058330265,-0.03404240594529273,244,248.3273
362776.99599322473,4254192.058330265,-0.03404240594529273,244,250.54044
318426.99599322473,4240792.058330265,-0.03404240594529273,244,248.3273
362726.99599322473,4254242.058330265,-0.03404240594529273,244,250.54044
344626.99599322473,4283092.058330265,-0.03402774687352006,249,246.69366
388976.99599322473,4264542.058330265,-0.03399001593327344,249,56.510197
376976.99599322473,4273342.058330265,-0.0339145643713723,238,248.16333
379076.99599322473,4277742.058330265,-0.03385217570277532,238,251.39677
363426.99599322473,4303592.058330265,-0.03385217570277532,249,249.97984
305926.99599322473,4243442.058330265,-0.0337671512621075,249,31.992516
375426.99599322473,4250992.058330265,-0.0337618889056468,238,248.3273
338826.99599322473,4262292.058330265,-0.03374454776934255,244,252.29561
332276.99599322473,4272392.058330265,-0.03374454776934255,244,252.15897
377776.99599322473,4275492.058330265,-0.03369731612463278,249,248.16333
361526.99599322473,4301692.058330265,-0.03369731612463278,249,248.83604
341926.99599322473,4285092.058330265,-0.033665086944291156,249,249.5606
335726.99599322473,4276242.058330265,-0.033644954200141464,249,54.0
310326.99599322473,4243042.058330265,-0.033644954200141464,249,52.766235
370976.99599322473,4301442.058330265,-0.033619254943958565,249,60.048077
320826.99599322473,4239092.058330265,-0.03361735013256173,244,249.0
377026.99599322473,4273342.058330265,-0.033607051055694726,244,248.16333
328026.99599322473,4273342.058330265,-0.033607051055694726,244,247.30215
381476.99599322473,4278742.058330265,-0.033592401898694946,249,246.85089
325026.99599322473,4280492.058330265,-0.03352900082770571,249,79.02522
305176.99599322473,4241242.058330265,-0.03352900082770571,249,80.90179
348676.99599322473,4279342.058330265,-0.0334814941167042,233,253.30278
332726.99599322473,4271892.058330265,-0.0334814941167042,233,253.30278
391276.99599322473,4292592.058330265,-0.03348004573690766,249,247.82419
322476.99599322473,4270242.058330265,-0.03348004573690766,249,247.68755
358126.99599322473,4309842.058330265,-0.03348004573690766,249,247.70552
308276.99599322473,4264192.058330265,-0.03348004573690766,249,247.82419
358726.99599322473,4253392.058330265,-0.033479295948379284,238,249.0
371276.99599322473,4299542.058330265,-0.033416949476825164,238,253.02016
391626.99599322473,4290742.058330265,-0.03332672374584755,249,248.3273
327376.99599322473,4292042.058330265,-0.03326219463911695,249,249.0
378726.99599322473,4267192.058330265,-0.03326219463911695,249,249.0
327326.99599322473,4293142.058330265,-0.03326219463911695,249,249.0
344476.99599322473,4284142.058330265,-0.03326219463911695,249,249.13663
384976.99599322473,4287342.058330265,-0.03326219463911695,249,249.0
362126.99599322473,4305442.058330265,-0.03326219463911695,249,249.0
384976.99599322473,4287292.058330265,-0.033229987257222704,249,248.83604
307126.99599322473,4244642.058330265,-0.033171990621633785,244,249.84322
379376.99599322473,4265842.058330265,-0.033171990621633785,244,249.97984
382926.99599322473,4271692.058330265,-0.033171990621633785,244,249.0
334326.99599322473,4268842.058330265,-0.033171990621633785,244,249.39662
362576.99599322473,4303892.058330265,-0.033171990621633785,244,248.57481
324676.99599322473,4237092.058330265,-0.033171990621633785,244,249.0
351626.99599322473,4248892.058330265,-0.033171990621633785,244,249.5606
381326.99599322473,4285792.058330265,-0.03309399318350037,249,79.59907
328276.99599322473,4289742.058330265,-0.033036420131583255,249,244.01186
340876.99599322473,4261892.058330265,-0.033036420131583255,249,245.09467
380676.99599322473,4276342.058330265,-0.03298201761938935,238,250.54044
362876.99599322473,4303742.058330265,-0.03295634484782106,233,253.86337
332226.99599322473,4272492.058330265,-0.032939025422977,238,252.29561
330726.99599322473,4275042.058330265,-0.032917523108243585,244,252.45956
392526.99599322473,4282392.058330265,-0.032917523108243585,244,253.02016
378476.99599322473,4266742.058330265,-0.0329021405389166,238,249.97984
346776.99599322473,4293942.058330265,-0.03287692655446961,249,83.51529
384776.99599322473,4264292.058330265,-0.03287692655446961,249,71.34165
336076.99599322473,4262892.058330265,-0.032795181853083055,249,249.0
335976.99599322473,4268842.058330265,-0.032795181853083055,249,249.0
350076.99599322473,4258542.058330265,-0.032795181853083055,249,250.05046
365176.99599322473,4303292.058330265,-0.032795181853083055,249,249.0
329776.99599322473,4282242.058330265,-0.03277507633358767,249,50.0
408526.99599322473,4232592.058330265,-0.03273722444395244,244,248.16333
365176.99599322473,4303242.058330265,-0.03273722444395244,244,248.16333
362776.99599322473,4303592.058330265,-0.03273722444395244,244,248.12479
396476.99599322473,4287492.058330265,-0.03273722444395244,244,247.86273
394376.99599322473,4284642.058330265,-0.03273722444395244,244,247.82419
336526.99599322473,4307442.058330265,-0.03269522497591493,249,38.0
323676.99599322473,4269092.058330265,-0.032657377791269426,244,246.85089
323526.99599322473,4271042.058330265,-0.032642261724173505,249,246.98097
355876.99599322473,4310642.058330265,-0.03260174564801732,249,245.61835
355426.99599322473,4311142.058330265,-0.03260174564801732,249,244.17581
340376.99599322473,4262992.058330265,-0.03254737993136969,249,248.83604
315926.99599322473,4241392.058330265,-0.03254737993136958,244,253.86337
367876.99599322473,4301142.058330265,-0.03254737993136958,238,249.69722
314626.99599322473,4239892.058330265,-0.03254737993136958,238,247.30215
349076.99599322473,4250292.058330265,-0.03254737993136958,238,249.97984
339826.99599322473,4244142.058330265,-0.03254737993136958,238,249.69722
392326.99599322473,4293092.058330265,-0.03254448305289681,222,252.45956
375376.99599322473,4255492.058330265,-0.032532461574954374,249,70.144936
375626.99599322473,4277292.058330265,-0.03253200622321406,233,252.45956
322326.99599322473,4292292.058330265,-0.03252027830550419,249,247.82419
379426.99599322473,4265992.058330265,-0.03245727620881378,238,249.97984
369126.99599322473,4301042.058330265,-0.03245727620881378,249,248.54874
334826.99599322473,4297642.058330265,-0.032453020790809695,249,24.69539
